COUNTRY|CODE;REGION;INSERT ALL
Thailand|THA;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Thailand|THA','REG3')
Turkey|TUR;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Turkey|TUR','REG3')
UAE|UAE;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('UAE|UAE','REG3')
Ukraine|UKR;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Ukraine|UKR','REG3')
United States|USA;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('United States|USA','REG3')
Uruguay|URY;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Uruguay|URY','REG3')
Venezuela|VEN;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Venezuela|VEN','REG3')
Austria|AUT;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Austria|AUT','REG4')
Belgium|BEL;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Belgium|BEL','REG4')
Estonia|EST;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Estonia|EST','REG4')
Finland|FIN;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Finland|FIN','REG4')
France|FRA;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('France|FRA','REG4')
Germany|DEU;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Germany|DEU','REG4')
Greece|GRC;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Greece|GRC','REG4')
Ireland|IRL;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Ireland|IRL','REG4')
Italy|ITA;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Italy|ITA','REG4')
Netherlands|NLD;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Netherlands|NLD','REG4')
Portugal|PRT;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Portugal|PRT','REG4')
Spain|ESP;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Spain|ESP','REG4')
Latvia|LVA;REG4;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Latvia|LVA','REG4')
